source,target,value
Gary Johnson,Amnesty,0
Mike Pence,Amnesty,1
Tim Kaine,Amnesty,0
Donald Trump,Brexit,5
Hillary Clinton,Brexit,0
Jill Stein,Brexit,1
Gary Johnson,Brexit,0
Mike Pence,Brexit,0
Tim Kaine,Brexit,0
Donald Trump,China,47
Hillary Clinton,China,8
Jill Stein,China,2
Gary Johnson,China,0
Mike Pence,China,2
Tim Kaine,China,3
Donald Trump,Citizenship,5
Hillary Clinton,Citizenship,4
Jill Stein,Citizenship,6
Gary Johnson,Citizenship,0
Mike Pence,Citizenship,0
Tim Kaine,Citizenship,0
Donald Trump,Cuba,4
Hillary Clinton,Cuba,4
Jill Stein,Cuba,2
Gary Johnson,Cuba,0
Mike Pence,Cuba,2
Tim Kaine,Cuba,4
Donald Trump,Drone,2
Hillary Clinton,Drone,0
Jill Stein,Drone,11
Gary Johnson,Drone,1
Mike Pence,Drone,0
Tim Kaine,Drone,1
Donald Trump,Egypt,1
Hillary Clinton,Egypt,0
Jill Stein,Egypt,1
Gary Johnson,Egypt,0
Mike Pence,Egypt,0
Tim Kaine,Egypt,1
Donald Trump,Europe,7
Hillary Clinton,Europe,0
Jill Stein,Europe,2
Gary Johnson,Europe,0
Mike Pence,Europe,0
Tim Kaine,Europe,0
Donald Trump,Immigration,83
Hillary Clinton,Immigration,62
Jill Stein,Immigration,43
Gary Johnson,Immigration,7
Mike Pence,Immigration,2
Tim Kaine,Immigration,11
Donald Trump,Iran,56
Hillary Clinton,Iran,5
Jill Stein,Iran,3
Gary Johnson,Iran,1
Mike Pence,Iran,0
Tim Kaine,Iran,18
Donald Trump,Iraq,54
Hillary Clinton,Iraq,1
Jill Stein,Iraq,32
Gary Johnson,Iraq,3
Mike Pence,Iraq,0
Tim Kaine,Iraq,13
Donald Trump,ISIS,77
Hillary Clinton,ISIS,20
Jill Stein,ISIS,16
Gary Johnson,ISIS,2
Mike Pence,ISIS,0
Tim Kaine,ISIS,1
Donald Trump,Islamic,18
Hillary Clinton,Islamic,1
Jill Stein,Islamic,0
Gary Johnson,Islamic,0
Mike Pence,Islamic,1
Tim Kaine,Islamic,0
Donald Trump,Israel,19
Hillary Clinton,Israel,0
Jill Stein,Israel,13
Gary Johnson,Israel,0
Mike Pence,Israel,1
Tim Kaine,Israel,8
Donald Trump,Korea,4
Hillary Clinton,Korea,1
Jill Stein,Korea,0
Gary Johnson,Korea,0
Mike Pence,Korea,0
Tim Kaine,Korea,0
Donald Trump,Mexico,72
Hillary Clinton,Mexico,10
Jill Stein,Mexico,11
Gary Johnson,Mexico,7
Mike Pence,Mexico,1
Tim Kaine,Mexico,6
Donald Trump,Military,34
Hillary Clinton,Military,16
Jill Stein,Military,68
Gary Johnson,Military,13
Mike Pence,Military,6
Tim Kaine,Military,71
Donald Trump,Muslim,16
Hillary Clinton,Muslim,31
Jill Stein,Muslim,14
Gary Johnson,Muslim,1
Mike Pence,Muslim,0
Tim Kaine,Muslim,8
Donald Trump,NATO,3
Hillary Clinton,NATO,1
Jill Stein,NATO,2
Gary Johnson,NATO,0
Mike Pence,NATO,0
Tim Kaine,NATO,0
Donald Trump,Nuclear,31
Hillary Clinton,Nuclear,29
Jill Stein,Nuclear,19
Gary Johnson,Nuclear,0
Mike Pence,Nuclear,0
Tim Kaine,Nuclear,18
Donald Trump,Puerto,1
Hillary Clinton,Puerto,14
Jill Stein,Puerto,9
Gary Johnson,Puerto,1
Mike Pence,Puerto,0
Tim Kaine,Puerto,3
Donald Trump,Putin,28
Hillary Clinton,Putin,5
Jill Stein,Putin,2
Gary Johnson,Putin,0
Mike Pence,Putin,0
Tim Kaine,Putin,0
Donald Trump,Raids,0
Hillary Clinton,Raids,4
Jill Stein,Raids,4
Gary Johnson,Raids,0
Mike Pence,Raids,0
Tim Kaine,Raids,0
Donald Trump,Russia,28
Hillary Clinton,Russia,6
Jill Stein,Russia,16
Gary Johnson,Russia,1
Mike Pence,Russia,1
Tim Kaine,Russia,5
Donald Trump,Syria,24
Hillary Clinton,Syria,3
Jill Stein,Syria,14
Gary Johnson,Syria,1
Mike Pence,Syria,1
Tim Kaine,Syria,13
Donald Trump,Terrorism,48
Hillary Clinton,Terrorism,37
Jill Stein,Terrorism,31
Gary Johnson,Terrorism,1
Mike Pence,Terrorism,2
Tim Kaine,Terrorism,7
Donald Trump,Torture,1
Hillary Clinton,Torture,5
Jill Stein,Torture,0
Gary Johnson,Torture,0
Mike Pence,Torture,0
Tim Kaine,Torture,0
Donald Trump,Ukraine,6
Hillary Clinton,Ukraine,0
Jill Stein,Ukraine,1
Gary Johnson,Ukraine,0
Mike Pence,Ukraine,0
Tim Kaine,Ukraine,4
Donald Trump,Venezuela,1
Hillary Clinton,Venezuela,0
Jill Stein,Venezuela,0
Gary Johnson,Venezuela,0
Mike Pence,Venezuela,0
Tim Kaine,Venezuela,0
Donald Trump,Waterboarding,2
Hillary Clinton,Waterboarding,0
Jill Stein,Waterboarding,0
Gary Johnson,Waterboarding,0
Mike Pence,Waterboarding,0
Tim Kaine,Waterboarding,0
